review_id,product_id,product_category,review_rating,review_date,review_text
101,PROD-7967,Grocery,2,21-11-2023,Hated it
102,PROD-2106,Home & Kitchen,3,11-03-2025,Neutral experience
103,PROD-9193,Grocery,3,09-05-2023,Nothing special
104,PROD-3879,Home & Kitchen,1,01-05-2023,Terrible
105,PROD-1026,Books,1,11-05-2024,Not recommended
106,PROD-6246,Electronics,3,16-02-2025,Average
107,PROD-5180,Toys,2,21-04-2023,Not recommended
108,PROD-7165,Fashion,5,18-10-2023,Fantastic quality
109,PROD-2853,Books,4,13-06-2023,Very satisfied
110,PROD-7560,Fashion,5,12-11-2024,Fantastic quality
111,PROD-4727,Grocery,4,26-08-2024,Great product
112,PROD-5132,Grocery,3,27-05-2023,Neutral experience
113,PROD-9675,Fashion,4,15-02-2024,Very satisfied
114,PROD-4905,Electronics,1,09-07-2024,Hated it
115,PROD-8195,Electronics,4,18-05-2024,Great product
116,PROD-7968,Electronics,3,02-08-2024,It works
117,PROD-8856,Books,5,14-08-2023,Very satisfied
118,PROD-8361,Fashion,2,06-06-2024,Not recommended
119,PROD-7781,Electronics,2,16-01-2024,Not recommended
120,PROD-5997,Electronics,2,24-05-2023,Poor quality
121,PROD-5193,Toys,5,08-12-2024,Very satisfied
122,PROD-9342,Toys,2,19-09-2024,Hated it
123,PROD-3136,Toys,3,05-11-2024,Average
124,PROD-7560,Beauty,2,30-08-2024,Poor quality
125,PROD-8003,Home & Kitchen,2,18-06-2023,Terrible
126,PROD-7074,Fashion,1,16-11-2024,Terrible
127,PROD-5016,Books,2,26-10-2024,Very disappointed
128,PROD-6658,Toys,3,26-01-2025,It works
129,PROD-5513,Toys,1,13-05-2024,Very disappointed
130,PROD-8947,Home & Kitchen,4,25-03-2024,Very satisfied
131,PROD-6913,Electronics,1,14-05-2024,Not recommended
132,PROD-9509,Books,2,31-05-2023,Not recommended
133,PROD-9777,Toys,4,06-07-2023,Great product
134,PROD-6333,Fashion,3,26-01-2024,Okay product
135,PROD-9147,Home & Kitchen,4,26-02-2025,Great product
136,PROD-6491,Electronics,4,25-03-2025,Fantastic quality
137,PROD-3484,Home & Kitchen,1,23-08-2024,Hated it
138,PROD-8926,Grocery,4,29-05-2024,Loved it
139,PROD-9605,Fashion,5,15-02-2024,Loved it
140,PROD-4582,Books,3,18-10-2024,Neutral experience
141,PROD-8045,Beauty,3,05-05-2024,Average
142,PROD-1058,Fashion,3,09-09-2024,Neutral experience
143,PROD-5793,Grocery,1,23-01-2024,Not recommended
144,PROD-7796,Electronics,5,26-12-2024,Very satisfied
145,PROD-5870,Books,4,04-10-2023,Highly recommend
146,PROD-3061,Books,1,22-12-2023,Very disappointed
147,PROD-4412,Toys,5,11-11-2023,Highly recommend
148,PROD-7387,Fashion,4,31-08-2024,Highly recommend
149,PROD-6266,Electronics,5,02-10-2024,Loved it
150,PROD-5079,Toys,4,11-11-2023,Loved it
151,PROD-9265,Beauty,5,28-05-2023,Very satisfied
152,PROD-8922,Fashion,4,05-05-2023,Loved it
153,PROD-2294,Fashion,5,29-05-2023,Very satisfied
154,PROD-3461,Toys,4,07-06-2024,Very satisfied
155,PROD-8128,Electronics,5,16-03-2024,Great product
156,PROD-5199,Beauty,1,28-12-2024,Hated it
157,PROD-2076,Grocery,4,15-05-2023,Loved it
158,PROD-2930,Books,1,31-12-2023,Hated it
159,PROD-4437,Grocery,1,23-10-2023,Very disappointed
160,PROD-9819,Grocery,3,05-06-2023,Neutral experience
161,PROD-4299,Beauty,4,08-03-2025,Fantastic quality
162,PROD-7844,Toys,2,20-03-2025,Hated it
163,PROD-7346,Toys,1,11-11-2023,Not recommended
164,PROD-3289,Grocery,2,05-05-2023,Very disappointed
165,PROD-1082,Electronics,4,10-11-2024,Highly recommend
166,PROD-8154,Books,2,27-02-2025,Hated it
167,PROD-4327,Fashion,1,15-07-2023,Hated it
168,PROD-3910,Toys,5,12-12-2023,Loved it
169,PROD-4928,Fashion,4,21-05-2024,Loved it
170,PROD-9671,Fashion,5,03-02-2025,Fantastic quality
171,PROD-4461,Toys,1,31-10-2023,Poor quality
172,PROD-3867,Home & Kitchen,3,19-07-2024,Average
173,PROD-4410,Beauty,5,24-12-2024,Very satisfied
174,PROD-3288,Beauty,1,25-08-2024,Very disappointed
175,PROD-2894,Grocery,4,30-01-2025,Highly recommend
176,PROD-9093,Grocery,3,31-05-2024,It works
177,PROD-4160,Books,3,12-10-2024,Neutral experience
178,PROD-4801,Grocery,1,23-07-2024,Terrible
179,PROD-6526,Beauty,5,30-08-2024,Loved it
180,PROD-5678,Grocery,1,20-11-2023,Hated it
181,PROD-4544,Electronics,3,13-09-2024,It works
182,PROD-2268,Toys,1,10-02-2025,Very disappointed
183,PROD-9112,Electronics,2,05-03-2025,Poor quality
184,PROD-9402,Grocery,4,19-10-2024,Highly recommend
185,PROD-4470,Home & Kitchen,4,24-04-2024,Highly recommend
186,PROD-9265,Toys,1,10-04-2025,Hated it
187,PROD-4793,Electronics,1,21-05-2023,Poor quality
188,PROD-9746,Home & Kitchen,3,26-04-2024,Okay product
189,PROD-8054,Books,2,30-03-2024,Poor quality
190,PROD-6791,Grocery,4,10-05-2024,Loved it
191,PROD-1599,Home & Kitchen,4,24-04-2024,Fantastic quality
192,PROD-6541,Grocery,5,15-04-2023,Very satisfied
193,PROD-2781,Toys,5,24-10-2024,Loved it
194,PROD-9939,Electronics,2,28-04-2023,Not recommended
